kode_prov,nama_prov,jenis_pdrb,kode_komp,nama_komp,nilai_jt
15,Jambi,PRODUKSI,I-38,Angkutan Udara,1581730.7868661296
15,Jambi,PRODUKSI,I-39,"Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir",569270.3234115824
15,Jambi,PRODUKSI,I-40,Penyediaan Akomodasi ,538211.8411490958
15,Jambi,PRODUKSI,I-41,Penyediaan Makan Minum,2459504.115842521
15,Jambi,PRODUKSI,I-42,Jasa Informasi dan Komunikasi,5348154.751572452
15,Jambi,PRODUKSI,I-43,Jasa Perantara Keuangan Selain Bank Sentral,3096494.967051304
15,Jambi,PRODUKSI,I-44,Asuransi dan Dana Pensiun,371630.8996293883
15,Jambi,PRODUKSI,I-45,Jasa Keuangan Lainnya,462866.84438756126
15,Jambi,PRODUKSI,I-46,Jasa Penunjang Keuangan,19999.71665173534
15,Jambi,PRODUKSI,I-47,Real Estate,4355514.651417164
15,Jambi,PRODUKSI,I-48,Jasa Perusahaan,2170512.8470258955
15,Jambi,PRODUKSI,I-49,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",5557772.679375296
15,Jambi,PRODUKSI,I-50,Jasa Pendidikan,4665399.0162981795
15,Jambi,PRODUKSI,I-51,Jasa Kesehatan dan Kegiatan Sosial,1537652.9236442507
15,Jambi,PRODUKSI,I-52,Jasa Lainnya,1898794.4561631759
16,Sumatera Selatan,PRODUKSI,I-01,Pertanian Tanaman Pangan ,11223936.850730408
16,Sumatera Selatan,PRODUKSI,I-02,"Pertanian Tanaman Hortikultura Semusim, Hortikultura Tahunan, dan Lainnya",3011101.800049884
16,Sumatera Selatan,PRODUKSI,I-03,Perkebunan Semusim dan Tahunan,29291740.088015206
16,Sumatera Selatan,PRODUKSI,I-04,Peternakan ,4234317.882841471
16,Sumatera Selatan,PRODUKSI,I-05,Jasa Pertanian dan Perburuan  ,1017302.8014488805
16,Sumatera Selatan,PRODUKSI,I-06,Kehutanan dan Penebangan Kayu,8570504.113968063
16,Sumatera Selatan,PRODUKSI,I-07,Perikanan ,12974336.408505559
16,Sumatera Selatan,PRODUKSI,I-08,"Pertambangan Minyak, Gas dan Panas Bumi",37206544.35869537
16,Sumatera Selatan,PRODUKSI,I-09,Pertambangan Batubara dan Lignit,18252393.154008813
16,Sumatera Selatan,PRODUKSI,I-10,Pertambangan Bijih Logam,0
16,Sumatera Selatan,PRODUKSI,I-11,Pertambangan dan Penggalian Lainnya,20569982.69059133
16,Sumatera Selatan,PRODUKSI,I-12,Industri Batubara dan Pengilangan Migas,30450555.774556212
16,Sumatera Selatan,PRODUKSI,I-13,Industri Makanan dan Minuman ,17031619.466515243
16,Sumatera Selatan,PRODUKSI,I-14,Industri Pengolahan Tembakau,27641.937551241885
16,Sumatera Selatan,PRODUKSI,I-15,Industri Tekstil dan Pakaian Jadi,458138.69687505526
16,Sumatera Selatan,PRODUKSI,I-16,"Industri Kulit, Barang dari Kulit dan Alas Kaki ",166286.2914618142
16,Sumatera Selatan,PRODUKSI,I-17,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya ",584242.3763159283
16,Sumatera Selatan,PRODUKSI,I-18,"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman ",1606843.0458175426
16,Sumatera Selatan,PRODUKSI,I-19,"Industri Kimia, Farmasi dan Obat Tradisional",9682486.643813603
16,Sumatera Selatan,PRODUKSI,I-20,"Industri Karet, Barang dari Karet dan Plastik",4819168.957676389
